input,output,A,B,C,D,source
发展格局是经济现代化的路径选择，是关系我国发展全局的重大战略任务。立足新发展阶段，贯彻新发展理念，要致力构建以国内大循环为主体、国内国际双循环相促进的新发展格局。构建新发展格局的关键在于,A,经济循环的畅通无阻,市场主体的活力,高水平的自立自强,产业链供应链的优化升级,2022UnifiedNationalGraduateEntranceExamination
解决好“三农”问题始终是全党工作明里中之生.新时代脱贫攻坚目临任舞完成以后，“三农”工作画心将历史性地转向全面推进乡村振兴. 2021年的中央一号文件对全面推进乡村振兴，加快农业农村现代化作了好步的部署。根据这一部署，“十四五”时期“三农”工作摆在首位的是,D,依托乡村特色优的源，打造农业全产业链,扩大农村需求，畅通城乡经济循环,补齐农业农村更板弱项，推动城乡协调发展,巩固拓展脱贫攻坚成果，守住防止规模性返贫底线,2022UnifiedNationalGraduateEntranceExamination
文化软实力集中体现了一个国家甚于文化而具有的凝聚力和生命力，以及由此产生的吸引力和影响力，提昌国冢文化软实力需要强大的国际传播能力.我国加强国际传播能力建设的重要任务是,D,加快发展新型文化业态,推进中华传统文化创造性转化、创新性发,推进社会主义先进文化深入人心，激发全民族文化创造活力,讲好好中国故事，传播好中国声音，展示真实、立体、全面的中国,2022UnifiedNationalGraduateEntranceExamination
戊戌维新运动是一次爱国救亡运动，也是一次资产阶级性质的改良运动，维新派尽管不敢从根本上否定封建主义，但突破了洋务派“中体西用”的思想局限，主张,A,君主立宪取代君主专制,民主共和取代封建专制,总统共和取代君主立宪制<,议会共和取代君主立宪制,2022UnifiedNationalGraduateEntranceExamination
大革命失败后，要不要坚持革命？如何坚持革命？党从残酷的现实中认识到没有革命的武装之无法战胜武装的反革命，就无法夺取中国革命的胜利，就无法改变中国人民和中华民族的命运，必须以武装的革命反对武装的反革命南昌起义，打响了武装反抗国民党反动派的第一枪，这是中国共产党,D,实施土地革命和武装起义方针的开始,建设无产阶级领导的新型人民军队的开端,实行工农武装割据的开始,独立领导革命战争创建人民军队和武装夺取政权的开端,2022UnifiedNationalGraduateEntranceExamination
1949年3月23日，中共中央离开西柏坡向北平进发。毛泽东比作“进京赶考”说“我们决不当李自成，我们希望考个好成绩。”3月25日，中共中央进驻香山标志着,C,旧民主主义革命向新民主主义革命转变,新民主主义社会向社会主义社会过渡,中国革命重心从农村转向城市,民族民主革命任务的完成,2022UnifiedNationalGraduateEntranceExamination
1956年4月毛泽东提出把马克思列宁主义基本原理同中国具体实际进行“二次结合”其目的是,C,加强中国共产党的自身建设,为社会主义改造创造条件,找出在中国怎样建设社会主义道路,全面建设社会主义现代化强国,2022UnifiedNationalGraduateEntranceExamination
中华传统美德是中华优秀文化的重要组成部分，其内容博大精深、源远流长。从《诗经》中的“夙夜在公”到《尚书》中的“以公灭私”，从西汉贾谊《治安策》中的“国而忘家，公而忘私”到宋代范仲淹《岳阳楼记》中的“先天下之忧而忧，后天下之乐而乐”，再到清代林则徐的“苟利国家生死以，岂因祸福避趋之”，贯穿其中的传统美德是,C,强调知行合一，注重躬行实践,推崇“仁爱”原则，注重以和为贵,重视整体利益，强调责任奉献,提倡人伦价值，重视道德义务,2022UnifiedNationalGraduateEntranceExamination
法律作为上层建筑的重要组成部分，不是凭空产生的，也不是永恒存在的，是由一定的社会物质生活条件所决定的。决定法律本质、内容和发展方向的根本,B,地理环境,物质资料的生产方式,人口素质,统治阶级的意志,2022UnifiedNationalGraduateEntranceExamination
2021年9月27日至28日，中央人才工作会议在北京举行。中共中央总书记、国家主席、中央军委主席习近平出席会议并发表重要讲话，强调要坚持党管人才，坚持面向世界科技前沿、面向经济主战场、面向国家重大需求、面向人民生命健康，深入实施新时代人才强国战略，全方位培养、引进、用好人才，加快建设,A,世界重要人才中心和创新高地,北京、上海、粤港澳大湾区建设高水平人才高地,一批国家实验室和新型研发机构,中心城市吸引和聚集人才的平台,2022UnifiedNationalGraduateEntranceExamination
《中华人民共和国反外国制裁法》于2021年6月10日起施行。这是一部指向性、针对性颇强的专门法律，共有16条。这部法律主要针对的是,D,西方某些大国近年来对我国的“贸易战”,少数国家操纵国际组织挑起的“货币战”,资本主义大国对社会主义国家的“新冷战”,外国干涉中国内政的所谓“单边制裁”,2022UnifiedNationalGraduateEntranceExamination
习近平主席在为《复兴文库》所写的序言中指出：“修史立典，存史启智，以文化人，这是中华民族延续几千年的一个传统。”“编纂出版《复兴文库》大型历史文献丛书，就是要通过对近代以来重要思想文献的选编，述录先人的开拓，启迪来者的奋斗。”“历史是最好的教科书，一切向前走，都不能忘记走过的路；走得再远、走到再光辉的未来，也不能忘记走过的过去。”这表明,A,历史、现实、未来是相通的,一切历史都是当代史,历史过程不包含任何偶然的因素,历史事件往往可以完整重复和再现,2023UnifiedNationalGraduateEntranceExamination
社会形态是关于社会运动的具体形式、发展阶段和不同质态的范畴，是同生产力发展一定阶段相适应的经济基础与上层建筑的统一体。人类社会历史划分为原始社会、奴隶社会、封建社会、资本主义社会和共产主义社会(社会主义社会是其第一阶段)五种社会形态，其依据是,C,生产工具的质量和数量,统治集团的阶级和政治属性,经济基础特别是生产关系的性质,人们社会交往和分工的范围和水平,2023UnifiedNationalGraduateEntranceExamination
马克思在《资本论》中指出：“不管生产力发生了什么变化。同一劳动在同样的时间内提供的价值量总是相同的。但它在同样的时间内提供的使用价值量是不同的，生产力提高时就多些，生产力降低时就少些。”这段话表明，生产力的变化,C,不影响同一劳动在同样的时间内生产的商品数量,不改变同一劳动在同样的时间内的生产效率,影响同一劳动在同样的时间内生产的单个商品价值量,改变同一劳动在同样的时间内提供的价值总量,2023UnifiedNationalGraduateEntranceExamination
垄断组织通过制定垄断价格来获取垄断利润。在市场交易过程中，垄断组织获利高低实际上受到很多因素的影响。为了避免遭受净亏损，垄断组织所能接受的最低价格是,B,成本价格,生产价格,垄断低价,垄断高价,2023UnifiedNationalGraduateEntranceExamination
什么是社会主义，怎样建设社会主义，是邓小平在改革开放和现代化建设过程中，不断提出和反复思考的首要的基本的理论问题。搞清这一基本理论问题，关键是要,D,科学分析我国社会主要矛盾,廓清不合乎时代进步和社会发展规律的模糊观念,系统总结社会主义社会发展的经验,在坚持社会主义基本制度基础上进一步认识社会主义本质,2023UnifiedNationalGraduateEntranceExamination
共同富裕是中国特色社会主义的本质要求。分配制度是促进共同富裕的基础性制度。坚持按劳分配、多种分配方式并存，构建初次分配、再分配、第三次分配协调配套的制度体系，对于处理效率和公平关系，逐步缩小贫富差距具有非常重要的意义。在这一制度体系中，除了健全完善初次分配、再分配机制外，还要重视发挥第三次分配的作用。当前，要做好第三次分配的作用，需要做的是,C,提高劳动报酬在分配中比重,加大税收、社保、转移支付等的调节力度,引导、支持有意愿的有能力的企业、社会组织和个人积极参与公益慈善事业,健全劳动、资本、土地等生产要素按贡献决定报酬机制,2023UnifiedNationalGraduateEntranceExamination
坚持总体国家安全观，必须坚持国家利益至上，以人民安全为宗旨，以政治安全为根本，以经济安全为基础，以军事、科技、文化、社会安全为保障，以促进国际安全为依托，统筹外部安全和内部安全、国土安全和国民安全、传统安全和非传统安全、自身安全和共同安全，统筹维护国家安全和塑造国家安全。坚持总体国家安全观，归根到底是为了,D,顺应世界变化发展的新趋势,增强全民国家安全意识,破解国家发展中遇到的安全难题,确保中华民族伟大复兴的进程不被迟滞甚至中断,2023UnifiedNationalGraduateEntranceExamination
作为一个无产阶级政党，如何永远得到人民的拥护和支持，如何跳出治乱兴衰周期率，实现长期执政，是中国共产党必须回答好、解决好的根本性问题。对于这一历史之问、时代之问，毛泽东统治在延安窑洞里给出了第一个答案，“只有让人民来监督政府，政府才不敢松懈，只有人人起来负责，才不会人亡政息。”经过党的十八大以来的不懈努力，我党找到了第二个答案，这就是,B,坚定理想,自我革命,把权力关进制度的笼子,增强忧患意识,2023UnifiedNationalGraduateEntranceExamination
中国是一个文明古国，为人类文明作出了不可磨灭的贡献。经过工业革命，到19世纪中叶，西方资本主义强国的经济和技术飞速发展。中国错失了工业革命的机遇，大幅落后于时代的原因是,A,中国的封建统治者夜郎自大、闭关锁国,资本-帝国主义国家对华进行资本输出,中国社会阶级关系发生深刻变动,中国被纳入资本主义世界体系,2023UnifiedNationalGraduateEntranceExamination
大革命失败后，社会被白色恐怖笼罩着，于是中共中央1927年8月7日在汉口召开了八七会议。这次会议,D,批评了大革命后期的左倾倾向,提出了党的工作重心由城市向乡村转移的必要性,提出了组织湘鄂粤赣农民秋收起义,确立了土地改革和武装起义方针,2023UnifiedNationalGraduateEntranceExamination
延安是中国革命的圣地。从1935年到1948年，党中央和毛泽东等老一辈革命家在延安生活和战斗了13年，领导中国革命事业从低潮走向高潮、实现历史性转折，扭转了中国的前途和命运。2022年10月27日，习近平主席带领中共中央政治局常委专程从北京前往延安，瞻仰延安革命纪念地，宣示新一届中央领导集体将继承和发扬延安时期党形成的优良革命传统和作风。延安精神最主要体现了党的宗旨是,A,全心全意为人民服务,坚定正确的政治方向,解放思想实事求是,自力更生艰苦奋斗,2023UnifiedNationalGraduateEntranceExamination
社会主义革命和建设时期，党面临的主要任务是，实现从新民主主义到社会主义的转变，进行社会主义革命，推进社会主义建设，为实现中华民族伟大复兴奠定根本政治前提和制度基础。中国社会步入社会主义社会的标志是,B,社会主义政治制度的确立,社会主义经济制度的确立,民主革命遗留任务的完成,人民民主专政政权的建立,2023UnifiedNationalGraduateEntranceExamination
公民道德建设对提高人民思想觉悟、道德水准、文明素养，提高全社会文明程度具有至关重要的作用。适应新时代新要求，党中央根据变化了的形势和公民道德建设的新需要，于2019年颁布了《新时代公民道德建设实施纲要》，明确强调新时代公民道德建设的着力点是,C,弘扬民族精神和时代精神,推动理想信念教育常态化制度化,推进社会公德、职业道德、家庭美德、个人品德建设,传承孝老爱亲、扶危济困、见义勇为等中华美德,2023UnifiedNationalGraduateEntranceExamination
党的二十大报告指出，我们要坚持走中国特色社会主义法治道路建设，中国特色社会主义法治体系建设社会主义法治国家围绕保障和促进社会公平正义坚持依法治国、依法执政、依法行政，共同推进坚持法治国家、法制政府、法制社会一体建设，全面推进科学立法、严格执法、公正司法、全民守法，全面推进国家各个方面工作法治化，坚持全面依法治国首先要,A,坚持依宪治国,坚持依法行政,坚持依法执政,坚持公正司法,2023UnifiedNationalGraduateEntranceExamination
2022年4月8日，北京冬奥会、冬残奥会总结表彰大会在北京举行。习大大强调，伟大事业孕育伟大精神，伟大精神推进伟大事业。我国广大参与者珍惜伟大时代赋予的机遇，在冬奥申办、筹办、举办的过程中，共同创造了北京冬奥精神。北京冬奥精神是,B,更快、更高、更强、更团结,胸怀大局、自信开放、迎难而上、追求卓越、共创未来,勇气、决心、激励、平等,一起向未来,2023UnifiedNationalGraduateEntranceExamination
2022年11月11日，第二十五次中国-东盟领导人会议在柬埔寨金边举行，发表了中国-东盟国家就南海问题达成的又一份重要文件。这份重要文件是,D,《中国和东盟国家外交部长关于全面有效落实<南海各方行为宣言>联合声明》,落实《南海各方行为宣言》指导方针,纪念《南海各方行为宣言》签署十周年声明,纪念《南海各方行为宣言》签署二十周年声明,2023UnifiedNationalGraduateEntranceExamination
习近平新时代中国特色社会主义思想是推进理论创新的光辉典范。新时代谱写马克思主义中国化时代化新篇章，要坚守理论创新的基础和前提，坚守好理论创新的“魂”和“根”。中国化时代化的马克思主义的“魂脉”和“根脉”是,A,马克思主义和中华优秀传统文化,共产主义社会理想和“天下大同”理想,全人类共同价值和社会主义核心价值观,共产主义远大理想和中国特色社会主义共同理想,2024UnifiedNationalGraduateEntranceExamination
一个地方的气候主要取决于纬度、海陆位置、地形，以及大气环流和洋流等因素。纬度、海陆位置、地形等因素在一定时期内基本保持不变，大气环流与洋流二者相互作用就形成相对稳定的气候状态，但当其中一个因素突然“掉链子”，就会发生厄尔尼诺之类的异常现象。厄尔尼诺现象不仅推高全球变暖幅度，更可能导致频次更多、范围更广、强度更大的极端天气，进而影响全球气候。厄尔尼诺现象对全球气候的影响表明，偶然因素是,C,决定事物发展趋势的根本性因素,事物发展中可有可无的影响因素,事物发展中不可忽视的影响因素,事物发展过程中确定不移的因素,2024UnifiedNationalGraduateEntranceExamination
除了几十颗卫星编织的“天上一张网”，还有地基增强系统构成的“地上一张网”，北斗卫星导航系统开启了高精度定位技术进步的“加速度”。有了“天上一张网”，为什么还要再建“地上一张网”?传统的卫星导航系统能提供的精度仅为5～10米，而北斗卫星导航系统可以实现提供实时米级、分米级、厘米级的更高精度的定位服务。从农林牧渔到吃穿住行，随着北斗卫星导航芯片或模块越来越多嵌入生产生活，每一个人都愈发清晰地感知到北斗的力量。北斗卫星导航系统在发展中应用、在应用中发展表明，技术进步的根本动力是,D,科学研究的规范,实践主体的意志,认识主体的兴趣,社会实践的需要,2024UnifiedNationalGraduateEntranceExamination
"列宁在谈到未来社会时写道，“生产力将以什么样的速度向前发展，将以什么样的速度发展到打破分工、消灭脑力劳动和体力劳动的对立、把劳动变为‘生活的第一需要’，这都是我们所不知道而且也不可能知道的”,“我们只能谈国家消亡的必然性，同时着重指出这个过程是长期的，指出它的长短将取决于共产主义高级阶段的发展速度，而把消灭的日期或消亡的具体形式作为悬案，因为现在还没有可供解决这些问题的材料”。这表明，列宁在展望未来社会时",D,揭示了社会历史发展的各项措施、方式、方法,认为不存在适用于各种社会形态发展的普遍规律,没有提出未来社会发展的方向、原则和基本特征,不对历史发展的各种细节作具体描绘,2024UnifiedNationalGraduateEntranceExamination
随着我国生产资料私有制社会主义改造的基本完成，国内的社会矛盾和阶级关系发生重大变化。在此背景下，毛泽东在1957年2月作《关于正确处理人民内部矛盾的问题》的报告，明确提出把正确处理人民内部矛盾作为我国政治生活的主题，其根本着眼点是,A,调动一切积极因素为社会主义建设服务,扩大社会主义民主，健全社会主义法制,维护社会稳定，实现长治久安,消除社会矛盾，实现民族大团结,2024UnifiedNationalGraduateEntranceExamination
习近平总书记指出：“实践发展永无止境，解放思想永无止境，改革开放也永无止境，改革开放只有进行时、没有完成时。”新时代坚持和发展中国特色社会主义，根本动力仍然是全面深化改革开放。改革开放的鲜明特征和首要任务是,A, 解放和发展社会生产力,形成更加成熟更加定型的制度,处理好政府和市场的关系,促进社会公平正义、增进人民福祉,2024UnifiedNationalGraduateEntranceExamination
社会治理是国家治理的重要领域，关系国家长治久安、社会安定有序、人民安居乐业。二十世纪60年代浙江枫桥干部群众创造了依靠群众就地化解矛盾的“枫桥经验”。今年是毛泽东同志批示学习推广“枫桥经验”60周年，也是习近平总书记指示坚持和发展“枫桥经验”20周年。11月6日，习近平总书记在会见全国“枫桥式工作法”入选单位代表时，再次强调要坚持和发展好新时代“枫桥经验”。新时代“枫桥经验”最突出的特点是,B,加强社会治理的顶层设计,最大限度把矛盾风险防范化解在基层,把人文关怀和心理疏导有机结合起来,有效发挥政府的主导作用,2024UnifiedNationalGraduateEntranceExamination
我国是一个有十四亿多人口的大国，无论社会现代化程度有多高，解决好吃饭问题，始终是治国理政的头等大事。保障我国粮食安全的关键在于,C,健全种粮农民收益保障机制,推进农业供给侧结构性改革,落实藏粮于地、藏粮于技战略,完善主产区利益补偿制度,2024UnifiedNationalGraduateEntranceExamination
中国是全国各族人民共同缔造的统一的多民族国家。中国上下五千年的历史，就是一个统一的多民族国家形成和不断发展的历史。对中华民族形成起决定作用的是,B,对种族和血缘的认同,对中华民族共同体的认同,对宗教信仰的认同,对共同生活地域的认同,2024UnifiedNationalGraduateEntranceExamination
鸦片战争前的中国社会是封建社会。鸦片战争以后，独立的中国逐步变成半殖民地的中国，封建的中国逐步变成半封建的中国。所谓“半封建”是指,B,封建经济占整个经济的一半,中国出现了资本主义生产关系,中国丧失完全独立的地位,封建剥削制度的根基彻底动摇,2024UnifiedNationalGraduateEntranceExamination
